Name,Price,ShortDescription,longDescription,image,Category,Type
Chicken Breast,19.5,"Breast • 500 gm","Tender chicken breast from UAE.",https://test.themeatpro.com/assets/Chicken/1061 Chicken Breast.jpg,Chicken,RAW
Chicken Breast Cubes,19.5,"Cubes • 500 gm","Cut chicken breast cubes from UAE.",https://test.themeatpro.com/assets/Chicken/1064 Chicken Breast Cubes Large.jpg,Chicken,RAW
Chicken Burger,30.25,"Burger Patty • 500 gm","Chicken burger patty.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Chicken,RAW

Chicken Whole (Hormone Free, No Cut),32,"Whole • 1 kg","Fresh whole chicken, hormone free, no cut.",https://test.themeatpro.com/assets/Chicken/1056 Chicken Whole Harmone Free No Cut.jpg,Chicken,RAW
Chicken Whole (Hormone Free, 8 Pcs),34,"Whole • 1 kg","Fresh whole chicken cut into 8 pieces, hormone free.",https://test.themeatpro.com/assets/Chicken/1060 Chicken Whole Harmone Free 8 Pcs.jpg,Chicken,RAW

Chicken Whole Amritsari (Marinated),36,"Whole • 1 kg","Whole chicken marinated in Amritsari spices.",https://test.themeatpro.com/assets/Chicken/1072 Chicken Whole Marinated Amritsari.jpg,Marinades,Marinated
Chicken Whole Tandoori (Marinated),36,"Whole • 1 kg","Whole chicken marinated in tandoori spices.",https://test.themeatpro.com/assets/Chicken/1073 Chicken Whole Marinated Tandoori.jpg,Marinades,Marinated
Chicken Whole Butter Garlic (Marinated),36,"Whole • 1 kg","Whole chicken marinated in butter garlic sauce.",https://test.themeatpro.com/assets/Chicken/1075 Chicken Whole Marinated Butter Garlic.jpg,Marinades,Marinated
Chicken Whole Honey Roast (Marinated),36,"Whole • 1 kg","Whole chicken marinated with honey roast flavor.",https://test.themeatpro.com/assets/Chicken/1076 Chicken Whole Marinated Honey Roast.jpg,Marinades,Marinated
Chicken Whole Chicken 65 (Marinated),36,"Whole • 1 kg","Whole chicken marinated in Chicken 65 spices.",https://test.themeatpro.com/assets/Chicken/1077 Chicken Whole Marinated Chicken 65.jpg,Marinades,Marinated
Chicken Whole Peri Peri (Marinated),36,"Whole • 1 kg","Whole chicken marinated in peri peri spices.",https://test.themeatpro.com/assets/Chicken/1080 Chicken Whole Marinated Peri Peri.jpg,Marinades,Marinated

Chicken 65 Tikka,28,"Tikka • 500 gm","Spicy Chicken 65 tikka pieces.",https://test.themeatpro.com/assets/Chicken/CHK 65 Tikka.JPG,Marinades,Marinated
Chicken Breast Slice,22,"Slice • 500 gm","Thinly sliced chicken breast.",https://test.themeatpro.com/assets/Chicken/CHK Breast Slice.jpg,Chicken,RAW
Chicken Haryali (Marinated),28,"Haryali • 500 gm","Chicken marinated in green herb haryali masala.",https://test.themeatpro.com/assets/Chicken/CHK HARYALI.JPG,Marinades,Marinated
Chicken N4 Special,28,"Special • 500 gm","Chef special marinated chicken.",https://test.themeatpro.com/assets/Chicken/CHK N4.JPG,Marinades,Marinated

Chicken Breast Cubes (Medium),19.5,"Cubes • 500 gm","Medium cut chicken breast cubes.",https://test.themeatpro.com/assets/Chicken/Chicken Breast Cubes Medium.jpg,Chicken,RAW
Chicken Breast Cubes (Small),19.5,"Cubes • 500 gm","Small cut chicken breast cubes.",https://test.themeatpro.com/assets/Chicken/Chicken Breast Cubes Small .jpg,Chicken,RAW

Chicken Whole (Standard),30,"Whole • 1 kg","Fresh whole chicken.",https://test.themeatpro.com/assets/Chicken/Whole Chicken.jpg,Chicken,RAW
Chicken Curry Cut,30,"Curry Cut • 1 kg","Chicken cut into curry pieces.",https://test.themeatpro.com/assets/Chicken/Whole chk curry cut.jpg,Chicken,RAW

Chicken Mexican (Marinated),28,"Mexican • 500 gm","Chicken marinated in Mexican spices.",https://test.themeatpro.com/assets/Chicken/chicken mexican.png,Marinades,Marinated

"The Meat Pro Blast Beef Steak, Marinated",23,"Beef Steak • 250 gm","Blast marinated beef steak.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated
"The Meat Pro Beef Stragonoff, Marinated",23,"Stragonoff • 250 gm","Blast marinated beef stroganoff.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated
"The Meat Pro Beef Cubes, Marinated",23,"Cubes • 250 gm","Blast marinated beef cubes.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated
"The Meat Pro Beef Burger, Marinated",23,"Burger • 250 gm","Blast marinated beef burger patty.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated
Chicken Schnitzel,26.75,"Schnitzel • 500 gm","Marinated chicken schnitzel.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated
Chicken Escalope,28,"Escalope • 500 gm","Marinated chicken escalope.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Marinades,Marinated

Local Kingfish Fillet,43.45,"Fillet • 500 gm","Local kingfish fillet.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Fish,RAW
Deveined Medium Shrimps,32.5,"Shrimps • 500 gm","Deveined medium-sized shrimps.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Fish,RAW
Salmon Slice,37,"Slice • 300 gm","Sliced Norwegian salmon.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Fish,RAW
Local Kingfish Slice,41,"Slice • 500 gm","Sliced local kingfish.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Fish,RAW
Salmon Fillet,45,"Fillet • 300 gm","Norwegian salmon fillet.",https://www.themeatpro.com/images/Chicken/Chicken Breast.jpg,Fish,RAW
